;pca_features;topic;pca_x;pca_y
0;[0.31214486194040025,-0.2873992870775258];faculty;0.31214486194040025;-0.2873992870775258
1;[0.31214486194040025,-0.2873992870775258];faculty;0.31214486194040025;-0.2873992870775258
2;[0.31214486194040025,-0.2873992870775258];faculty;0.31214486194040025;-0.2873992870775258
3;[0.31214486194040025,-0.2873992870775258];faculty;0.31214486194040025;-0.2873992870775258
4;[0.31214486194040025,-0.2873992870775258];faculty;0.31214486194040025;-0.2873992870775258
5;[0.31214486194040025,-0.2873992870775258];faculty;0.31214486194040025;-0.2873992870775258
6;[0.31214486194040025,-0.2873992870775258];faculty;0.31214486194040025;-0.2873992870775258
7;[0.31214486194040025,-0.2873992870775258];faculty;0.31214486194040025;-0.2873992870775258
8;[0.11038209726924461,0.022600455370949752];faculty;0.11038209726924461;0.022600455370949752
9;[0.11038209726924461,0.022600455370949752];faculty;0.11038209726924461;0.022600455370949752
10;[0.11038209726924461,0.022600455370949752];faculty;0.11038209726924461;0.022600455370949752
11;[0.11038209726924461,0.022600455370949752];faculty;0.11038209726924461;0.022600455370949752
12;[0.11038209726924461,0.022600455370949752];faculty;0.11038209726924461;0.022600455370949752
13;[0.11038209726924461,0.022600455370949752];faculty;0.11038209726924461;0.022600455370949752
14;[0.11038209726924461,0.022600455370949752];faculty;0.11038209726924461;0.022600455370949752
15;[0.11038209726924461,0.022600455370949752];faculty;0.11038209726924461;0.022600455370949752
16;[0.11038209726924461,0.022600455370949752];faculty;0.11038209726924461;0.022600455370949752
17;[-0.036685238156314574,0.2206254334613331];faculty;-0.036685238156314574;0.2206254334613331
18;[-0.036685238156314574,0.2206254334613331];faculty;-0.036685238156314574;0.2206254334613331
19;[-0.036685238156314574,0.2206254334613331];faculty;-0.036685238156314574;0.2206254334613331
20;[-0.036685238156314574,0.2206254334613331];faculty;-0.036685238156314574;0.2206254334613331
21;[-0.036685238156314574,0.2206254334613331];faculty;-0.036685238156314574;0.2206254334613331
22;[-0.036685238156314574,0.2206254334613331];faculty;-0.036685238156314574;0.2206254334613331
23;[-0.036685238156314574,0.2206254334613331];faculty;-0.036685238156314574;0.2206254334613331
24;[0.24653774746240098,-0.24279053929430144];faculty;0.24653774746240098;-0.24279053929430144
25;[0.24653774746240098,-0.24279053929430144];faculty;0.24653774746240098;-0.24279053929430144
26;[0.24653774746240098,-0.24279053929430144];faculty;0.24653774746240098;-0.24279053929430144
27;[0.24653774746240098,-0.24279053929430144];faculty;0.24653774746240098;-0.24279053929430144
28;[0.24653774746240098,-0.24279053929430144];faculty;0.24653774746240098;-0.24279053929430144
29;[0.24653774746240098,-0.24279053929430144];faculty;0.24653774746240098;-0.24279053929430144
30;[0.24653774746240098,-0.24279053929430144];faculty;0.24653774746240098;-0.24279053929430144
31;[0.24653774746240098,-0.24279053929430144];faculty;0.24653774746240098;-0.24279053929430144
32;[0.24653774746240098,-0.24279053929430144];faculty;0.24653774746240098;-0.24279053929430144
33;[0.09383753376883132,0.06124166039750291];faculty;0.09383753376883132;0.06124166039750291
34;[0.09383753376883132,0.06124166039750291];faculty;0.09383753376883132;0.06124166039750291
35;[0.09383753376883132,0.06124166039750291];faculty;0.09383753376883132;0.06124166039750291
36;[0.09383753376883132,0.06124166039750291];faculty;0.09383753376883132;0.06124166039750291
37;[0.09383753376883132,0.06124166039750291];faculty;0.09383753376883132;0.06124166039750291
38;[0.09383753376883132,0.06124166039750291];faculty;0.09383753376883132;0.06124166039750291
39;[0.09383753376883132,0.06124166039750291];faculty;0.09383753376883132;0.06124166039750291
40;[0.09383753376883132,0.06124166039750291];faculty;0.09383753376883132;0.06124166039750291
41;[0.09383753376883132,0.06124166039750291];faculty;0.09383753376883132;0.06124166039750291
42;[0.09383753376883132,0.06124166039750291];faculty;0.09383753376883132;0.06124166039750291
43;[0.09383753376883132,0.06124166039750291];faculty;0.09383753376883132;0.06124166039750291
